0,1,2
2009.comp.1,relatedTransaction,2009.comp.601318
2011.comp.1,relatedTransaction,2011.comp.601318
2012.comp.1,relatedTransaction,2012.comp.601318
2013.comp.1,relatedTransaction,2013.comp.601318
2014.comp.1,relatedTransaction,2014.comp.601318
2015.comp.1,relatedTransaction,2015.comp.2736
2016.comp.1,relatedTransaction,2016.comp.601318
2017.comp.1,relatedTransaction,2017.comp.601318
2018.comp.1,relatedTransaction,2018.comp.601318
2019.comp.1,relatedTransaction,2019.comp.600340
2019.comp.1,relatedTransaction,2019.comp.601318
2020.comp.1,relatedTransaction,2020.comp.601318
2020.comp.1,relatedTransaction,2020.comp.1
2001.comp.6,relatedTransaction,2001.comp.11
2002.comp.6,relatedTransaction,2002.comp.11
1997.comp.7,relatedTransaction,1997.comp.58
1998.comp.7,relatedTransaction,1998.comp.58
1999.comp.7,relatedTransaction,1999.comp.58
1999.comp.7,relatedTransaction,1999.comp.68
2000.comp.7,relatedTransaction,2000.comp.58
2000.comp.7,relatedTransaction,2000.comp.68
2001.comp.7,relatedTransaction,2001.comp.58
2001.comp.7,relatedTransaction,2001.comp.68
2002.comp.7,relatedTransaction,2002.comp.68
2002.comp.7,relatedTransaction,2002.comp.58
2003.comp.7,relatedTransaction,2003.comp.58
2003.comp.7,relatedTransaction,2003.comp.68
2004.comp.7,relatedTransaction,2004.comp.58
2004.comp.7,relatedTransaction,2004.comp.68
2008.comp.9,relatedTransaction,2008.comp.600993
2008.comp.9,relatedTransaction,2008.comp.835185
2009.comp.9,relatedTransaction,2009.comp.835185
2010.comp.9,relatedTransaction,2010.comp.600993
2011.comp.9,relatedTransaction,2011.comp.835185
2012.comp.9,relatedTransaction,2012.comp.835185
2012.comp.9,relatedTransaction,2012.comp.40
2013.comp.9,relatedTransaction,2013.comp.835185
2014.comp.9,relatedTransaction,2014.comp.835185
2014.comp.9,relatedTransaction,2014.comp.600993
2015.comp.9,relatedTransaction,2015.comp.835185
2015.comp.9,relatedTransaction,2015.comp.600993
2016.comp.9,relatedTransaction,2016.comp.835185
2016.comp.9,relatedTransaction,2016.comp.600993
2017.comp.9,relatedTransaction,2017.comp.835185
2017.comp.9,relatedTransaction,2017.comp.600993
2018.comp.9,relatedTransaction,2018.comp.835185
2018.comp.9,relatedTransaction,2018.comp.600993
2019.comp.9,relatedTransaction,2019.comp.835185
2019.comp.9,relatedTransaction,2019.comp.600993
2020.comp.9,relatedTransaction,2020.comp.835185
2020.comp.9,relatedTransaction,2020.comp.600993
2021.comp.11,relatedTransaction,2021.comp.29
2010.comp.12,relatedTransaction,2010.comp.300093
2011.comp.12,relatedTransaction,2011.comp.300093
2012.comp.16,relatedTransaction,2012.comp.300241
2013.comp.16,relatedTransaction,2013.comp.300241
2014.comp.16,relatedTransaction,2014.comp.300241
2015.comp.16,relatedTransaction,2015.comp.300241
2016.comp.16,relatedTransaction,2016.comp.300241
2016.comp.16,relatedTransaction,2016.comp.69
2022.comp.16,relatedTransaction,2022.comp.69
1999.comp.17,relatedTransaction,1999.comp.30
2000.comp.17,relatedTransaction,2000.comp.30
2001.comp.17,relatedTransaction,2001.comp.30
2002.comp.17,relatedTransaction,2002.comp.30
2003.comp.17,relatedTransaction,2003.comp.30
2007.comp.17,relatedTransaction,2007.comp.30
2018.comp.18,relatedTransaction,2018.comp.18
2002.comp.19,relatedTransaction,2002.comp.30
2003.comp.19,relatedTransaction,2003.comp.30
2003.comp.19,relatedTransaction,2003.comp.17
2005.comp.19,relatedTransaction,2005.comp.61
2006.comp.19,relatedTransaction,2006.comp.61
2007.comp.19,relatedTransaction,2007.comp.61
2011.comp.19,relatedTransaction,2011.comp.61
2012.comp.19,relatedTransaction,2012.comp.61
2013.comp.19,relatedTransaction,2013.comp.61
2014.comp.19,relatedTransaction,2014.comp.61
2015.comp.19,relatedTransaction,2015.comp.61
2017.comp.19,relatedTransaction,2017.comp.61
2018.comp.19,relatedTransaction,2018.comp.2063
2019.comp.19,relatedTransaction,2019.comp.61
2020.comp.19,relatedTransaction,2020.comp.19
2020.comp.19,relatedTransaction,2020.comp.61
2000.comp.21,relatedTransaction,2000.comp.66
2001.comp.21,relatedTransaction,2001.comp.66
2002.comp.21,relatedTransaction,2002.comp.66
2009.comp.21,relatedTransaction,2009.comp.748
2009.comp.21,relatedTransaction,2009.comp.66
2010.comp.21,relatedTransaction,2010.comp.66
2011.comp.21,relatedTransaction,2011.comp.66
2012.comp.21,relatedTransaction,2012.comp.66
2012.comp.21,relatedTransaction,2012.comp.21
2013.comp.21,relatedTransaction,2013.comp.300077
2013.comp.21,relatedTransaction,2013.comp.66
2014.comp.21,relatedTransaction,2014.comp.300077
2014.comp.21,relatedTransaction,2014.comp.66
2014.comp.21,relatedTransaction,2014.comp.21
2015.comp.21,relatedTransaction,2015.comp.32
2015.comp.21,relatedTransaction,2015.comp.21
2015.comp.21,relatedTransaction,2015.comp.66
2015.comp.21,relatedTransaction,2015.comp.2855
2016.comp.21,relatedTransaction,2016.comp.2745
2016.comp.21,relatedTransaction,2016.comp.66
