,comp1,comp2,w
0,2012.comp.1,2012.comp.1,33
1,2012.comp.1,2012.comp.601318,5
2,2012.comp.1,2012.comp.600016,1
3,2012.comp.1,2012.comp.600100,1
4,2012.comp.1,2012.comp.2197,1
5,2012.comp.1,2012.comp.600616,1
6,2012.comp.1,2012.comp.600618,1
7,2012.comp.1,2012.comp.601688,1
8,2012.comp.601318,2012.comp.1,5
9,2012.comp.601318,2012.comp.601318,42
10,2012.comp.601318,2012.comp.600036,1
11,2012.comp.601318,2012.comp.600583,1
12,2012.comp.601318,2012.comp.601328,1
13,2013.comp.1,2013.comp.1,33
14,2013.comp.1,2013.comp.601318,5
15,2013.comp.1,2013.comp.600100,1
16,2013.comp.1,2013.comp.2197,1
17,2013.comp.1,2013.comp.300294,1
18,2013.comp.1,2013.comp.600616,1
19,2013.comp.1,2013.comp.600618,1
20,2013.comp.1,2013.comp.600837,1
21,2013.comp.1,2013.comp.601688,1
22,2013.comp.601318,2013.comp.1,5
23,2013.comp.601318,2013.comp.601318,40
24,2013.comp.601318,2013.comp.600036,1
25,2013.comp.601318,2013.comp.300244,1
26,2013.comp.601318,2013.comp.600583,1
27,2014.comp.1,2014.comp.1,43
28,2014.comp.1,2014.comp.601318,6
29,2014.comp.1,2014.comp.600100,1
30,2014.comp.1,2014.comp.600176,1
31,2014.comp.1,2014.comp.300070,1
32,2014.comp.1,2014.comp.600616,1
33,2014.comp.1,2014.comp.601808,1
34,2014.comp.1,2014.comp.600618,1
35,2014.comp.1,2014.comp.600837,1
36,2014.comp.601318,2014.comp.1,6
37,2014.comp.601318,2014.comp.601318,34
38,2014.comp.601318,2014.comp.600036,1
39,2014.comp.601318,2014.comp.2736,1
40,2014.comp.601318,2014.comp.538,1
41,2015.comp.1,2015.comp.1,28
42,2015.comp.1,2015.comp.600176,1
43,2015.comp.1,2015.comp.600590,1
44,2015.comp.1,2015.comp.601318,5
45,2015.comp.2736,2015.comp.2736,22
46,2015.comp.2736,2015.comp.19,1
47,2015.comp.2736,2015.comp.61,1
48,2015.comp.2736,2015.comp.23,1
49,2015.comp.2736,2015.comp.800,1
50,2015.comp.2736,2015.comp.45,1
51,2015.comp.2736,2015.comp.600011,1
52,2015.comp.2736,2015.comp.2500,1
53,2015.comp.2736,2015.comp.601211,2
54,2015.comp.2736,2015.comp.600058,1
55,2015.comp.2736,2015.comp.600422,2
56,2015.comp.2736,2015.comp.601318,1
57,2003.comp.7,2003.comp.7,19
58,2003.comp.58,2003.comp.58,13
