0,1,2
2012.comp.1,same.manager,2012.comp.600100
2012.comp.1,same.manager,2012.comp.600618
2012.comp.1,same.manager,2012.comp.600016
2012.comp.1,same.manager,2012.comp.2197
2012.comp.1,same.manager,2012.comp.600616
2012.comp.1,same.manager,2012.comp.601688
2012.comp.1,same.manager,2012.comp.601318
2012.comp.1,same.manager,2012.comp.1
2013.comp.1,same.manager,2013.comp.600616
2013.comp.1,same.manager,2013.comp.300294
2013.comp.1,same.manager,2013.comp.2197
2013.comp.1,same.manager,2013.comp.601318
2013.comp.1,same.manager,2013.comp.601688
2013.comp.1,same.manager,2013.comp.600100
2013.comp.1,same.manager,2013.comp.600837
2013.comp.1,same.manager,2013.comp.600618
2013.comp.1,same.manager,2013.comp.1
2014.comp.1,same.manager,2014.comp.601808
2014.comp.1,same.manager,2014.comp.600837
2014.comp.1,same.manager,2014.comp.600618
2014.comp.1,same.manager,2014.comp.600100
2014.comp.1,same.manager,2014.comp.300070
2014.comp.1,same.manager,2014.comp.600616
2014.comp.1,same.manager,2014.comp.600176
2014.comp.1,same.manager,2014.comp.601318
2014.comp.1,same.manager,2014.comp.1
2015.comp.1,same.manager,2015.comp.600590
2015.comp.1,same.manager,2015.comp.600176
2015.comp.1,same.manager,2015.comp.601318
2015.comp.1,same.manager,2015.comp.1
2020.comp.2,same.manager,2020.comp.16
2020.comp.2,same.manager,2020.comp.601618
2020.comp.2,same.manager,2020.comp.600028
2020.comp.2,same.manager,2020.comp.600664
2020.comp.2,same.manager,2020.comp.2352
2020.comp.2,same.manager,2020.comp.651
2020.comp.2,same.manager,2020.comp.2
2003.comp.7,same.manager,2003.comp.7
2004.comp.7,same.manager,2004.comp.7
2005.comp.7,same.manager,2005.comp.7
2006.comp.7,same.manager,2006.comp.7
2020.comp.8,same.manager,2020.comp.8
2004.comp.9,same.manager,2004.comp.600993
2004.comp.9,same.manager,2004.comp.9
2005.comp.9,same.manager,2005.comp.600993
2005.comp.9,same.manager,2005.comp.9
2008.comp.9,same.manager,2008.comp.600993
2008.comp.9,same.manager,2008.comp.9
2010.comp.9,same.manager,2010.comp.600993
2010.comp.9,same.manager,2010.comp.9
2012.comp.9,same.manager,2012.comp.40
2012.comp.9,same.manager,2012.comp.9
2013.comp.9,same.manager,2013.comp.40
2013.comp.9,same.manager,2013.comp.9
2014.comp.9,same.manager,2014.comp.600993
2014.comp.9,same.manager,2014.comp.9
2015.comp.9,same.manager,2015.comp.600993
2015.comp.9,same.manager,2015.comp.9
2016.comp.9,same.manager,2016.comp.2512
2016.comp.9,same.manager,2016.comp.600993
2016.comp.9,same.manager,2016.comp.9
2017.comp.9,same.manager,2017.comp.40
2017.comp.9,same.manager,2017.comp.600993
2017.comp.9,same.manager,2017.comp.9
2018.comp.9,same.manager,2018.comp.40
2018.comp.9,same.manager,2018.comp.600993
2018.comp.9,same.manager,2018.comp.9
2019.comp.9,same.manager,2019.comp.600993
2019.comp.9,same.manager,2019.comp.9
2020.comp.9,same.manager,2020.comp.600993
2020.comp.9,same.manager,2020.comp.9
2003.comp.11,same.manager,2003.comp.11
2004.comp.11,same.manager,2004.comp.14
2004.comp.11,same.manager,2004.comp.11
2005.comp.11,same.manager,2005.comp.14
2005.comp.11,same.manager,2005.comp.11
2006.comp.11,same.manager,2006.comp.11
2019.comp.11,same.manager,2019.comp.2528
2019.comp.11,same.manager,2019.comp.11
2010.comp.12,same.manager,2010.comp.300077
2010.comp.12,same.manager,2010.comp.300093
2010.comp.12,same.manager,2010.comp.12
2011.comp.12,same.manager,2011.comp.22
2011.comp.12,same.manager,2011.comp.300093
2011.comp.12,same.manager,2011.comp.300077
2011.comp.12,same.manager,2011.comp.12
2003.comp.14,same.manager,2003.comp.14
2004.comp.14,same.manager,2004.comp.14
2005.comp.14,same.manager,2005.comp.14
2006.comp.14,same.manager,2006.comp.14
2003.comp.16,same.manager,2003.comp.69
2003.comp.16,same.manager,2003.comp.16
2004.comp.16,same.manager,2004.comp.69
2004.comp.16,same.manager,2004.comp.16
2006.comp.16,same.manager,2006.comp.69
2006.comp.16,same.manager,2006.comp.16
2007.comp.16,same.manager,2007.comp.16
2008.comp.16,same.manager,2008.comp.69
2008.comp.16,same.manager,2008.comp.912
2008.comp.16,same.manager,2008.comp.16
2009.comp.16,same.manager,2009.comp.912
2009.comp.16,same.manager,2009.comp.69
2009.comp.16,same.manager,2009.comp.16
2010.comp.16,same.manager,2010.comp.69
2010.comp.16,same.manager,2010.comp.912
2010.comp.16,same.manager,2010.comp.16
2011.comp.16,same.manager,2011.comp.2128
2011.comp.16,same.manager,2011.comp.912
2011.comp.16,same.manager,2011.comp.69
2011.comp.16,same.manager,2011.comp.16
2012.comp.16,same.manager,2012.comp.2128
2012.comp.16,same.manager,2012.comp.912
2012.comp.16,same.manager,2012.comp.69
2012.comp.16,same.manager,2012.comp.16
2013.comp.16,same.manager,2013.comp.69
2013.comp.16,same.manager,2013.comp.2128
2013.comp.16,same.manager,2013.comp.16
2014.comp.16,same.manager,2014.comp.69
2014.comp.16,same.manager,2014.comp.2128
2014.comp.16,same.manager,2014.comp.338
2014.comp.16,same.manager,2014.comp.16
2015.comp.16,same.manager,2015.comp.338
2015.comp.16,same.manager,2015.comp.601211
