index,0
0,2012.comp.1
1,2012.comp.601318
2,2013.comp.1
3,2013.comp.601318
4,2014.comp.1
5,2014.comp.601318
6,2015.comp.1
7,2015.comp.2736
8,2003.comp.7
9,2003.comp.58
10,2003.comp.68
11,2004.comp.7
12,2004.comp.58
13,2004.comp.68
14,2008.comp.9
15,2008.comp.600993
16,2010.comp.9
17,2010.comp.600993
18,2012.comp.9
19,2012.comp.40
20,2014.comp.9
21,2014.comp.600993
22,2015.comp.9
23,2015.comp.600993
24,2016.comp.9
25,2016.comp.600993
26,2017.comp.9
27,2017.comp.600993
28,2018.comp.9
29,2018.comp.600993
30,2019.comp.9
31,2019.comp.600993
32,2020.comp.9
33,2020.comp.600993
34,2010.comp.12
35,2010.comp.300093
36,2011.comp.12
37,2011.comp.300093
38,2012.comp.16
39,2012.comp.300241
40,2013.comp.16
41,2013.comp.300241
42,2014.comp.16
43,2014.comp.300241
44,2015.comp.16
45,2015.comp.300241
46,2016.comp.16
47,2016.comp.300241
48,2016.comp.69
49,2003.comp.17
50,2003.comp.30
51,2007.comp.17
52,2007.comp.30
53,2018.comp.18
54,2003.comp.19
55,2005.comp.19
56,2005.comp.61
57,2006.comp.19
58,2006.comp.61
59,2007.comp.19
60,2007.comp.61
61,2011.comp.19
62,2011.comp.61
63,2012.comp.19
64,2012.comp.61
65,2013.comp.19
66,2013.comp.61
67,2014.comp.19
68,2014.comp.61
69,2015.comp.19
70,2015.comp.61
71,2017.comp.19
72,2017.comp.61
73,2018.comp.19
74,2018.comp.2063
75,2019.comp.19
76,2019.comp.61
77,2020.comp.19
78,2020.comp.61
79,2009.comp.21
80,2009.comp.748
81,2009.comp.66
82,2010.comp.21
83,2010.comp.66
84,2011.comp.21
85,2011.comp.66
86,2012.comp.21
87,2012.comp.66
88,2013.comp.21
89,2013.comp.300077
90,2013.comp.66
91,2014.comp.21
92,2014.comp.300077
93,2014.comp.66
94,2015.comp.21
95,2015.comp.32
96,2015.comp.66
97,2016.comp.21
98,2016.comp.2745
99,2016.comp.66
100,2017.comp.21
101,2017.comp.66
102,2017.comp.2855
103,2018.comp.21
104,2018.comp.66
105,2018.comp.2855
106,2019.comp.21
107,2019.comp.66
108,2019.comp.2855
109,2020.comp.21
110,2020.comp.66
111,2020.comp.2855
112,2003.comp.22
113,2003.comp.200053
114,2004.comp.22
115,2004.comp.200053
116,2005.comp.22
117,2005.comp.200053
118,2006.comp.22
119,2006.comp.200053
120,2007.comp.22
121,2007.comp.200053
122,2008.comp.22
123,2008.comp.200053
124,2009.comp.22
125,2009.comp.200053
126,2010.comp.22
127,2010.comp.200053
128,2011.comp.22
129,2011.comp.200053
130,2012.comp.22
131,2012.comp.2314
132,2012.comp.200053
133,2013.comp.22
134,2013.comp.200053
135,2014.comp.22
136,2014.comp.200053
137,2015.comp.22
138,2015.comp.200053
139,2016.comp.22
140,2016.comp.200053
141,2017.comp.22
142,2017.comp.200053
143,2008.comp.23
144,2012.comp.23
145,2013.comp.23
146,2015.comp.23
147,2012.comp.24
148,2012.comp.600036
149,2013.comp.24
150,2013.comp.600036
151,2014.comp.24
152,2014.comp.600036
153,2014.comp.600999
154,2020.comp.25
155,2020.comp.300917
156,2008.comp.26
157,2008.comp.43
158,2009.comp.26
159,2009.comp.43
160,2010.comp.26
161,2010.comp.2419
162,2011.comp.26
163,2011.comp.2419
164,2011.comp.43
165,2012.comp.26
166,2012.comp.2419
167,2012.comp.43
168,2013.comp.26
169,2013.comp.300114
170,2013.comp.2419
171,2013.comp.43
172,2014.comp.26
173,2014.comp.300114
174,2014.comp.2419
175,2014.comp.43
176,2015.comp.26
177,2015.comp.2419
178,2015.comp.43
179,2016.comp.26
180,2016.comp.2419
181,2016.comp.43
182,2017.comp.26
183,2017.comp.2419
